group_id,problem_name,submission_id,username,language,identical_submissions_in_group
6,unknown,1390053966,unknown,unknown,32
6,unknown,1390053965,unknown,unknown,32
7,unknown,1390057146,unknown,unknown,16
7,unknown,1390056039,unknown,unknown,16
7,unknown,1390055780,unknown,unknown,16
7,unknown,1390055369,unknown,unknown,16
7,unknown,1390055297,unknown,unknown,16
7,unknown,1390055199,unknown,unknown,16
7,unknown,1390054894,unknown,unknown,16
7,unknown,1390054891,unknown,unknown,16
7,unknown,1390054662,unknown,unknown,16
7,unknown,1390054463,unknown,unknown,16
7,unknown,1390053311,unknown,unknown,16
7,unknown,1390053280,unknown,unknown,16
7,unknown,1390053111,unknown,unknown,16
7,unknown,1390053102,unknown,unknown,16
7,unknown,1390053014,unknown,unknown,16
7,unknown,1390052919,unknown,unknown,16
8,unknown,1390057187,unknown,unknown,19
8,unknown,1390056935,unknown,unknown,19
8,unknown,1390056084,unknown,unknown,19
8,unknown,1390056069,unknown,unknown,19
8,unknown,1390055905,unknown,unknown,19
8,unknown,1390055843,unknown,unknown,19
8,unknown,1390055800,unknown,unknown,19
8,unknown,1390055278,unknown,unknown,19
8,unknown,1390055209,unknown,unknown,19
8,unknown,1390054942,unknown,unknown,19
8,unknown,1390054803,unknown,unknown,19
8,unknown,1390054702,unknown,unknown,19
8,unknown,1390054363,unknown,unknown,19
8,unknown,1390054186,unknown,unknown,19
8,unknown,1390054081,unknown,unknown,19
8,unknown,1390054020,unknown,unknown,19
8,unknown,1390053977,unknown,unknown,19
8,unknown,1390053777,unknown,unknown,19
8,unknown,1390053721,unknown,unknown,19
9,unknown,1390056984,unknown,unknown,9
9,unknown,1390055725,unknown,unknown,9
9,unknown,1390055413,unknown,unknown,9
9,unknown,1390055216,unknown,unknown,9
9,unknown,1390055149,unknown,unknown,9
9,unknown,1390054881,unknown,unknown,9
9,unknown,1390054432,unknown,unknown,9
9,unknown,1390053970,unknown,unknown,9
9,unknown,1390053860,unknown,unknown,9
10,unknown,1390056939,unknown,unknown,5
10,unknown,1390055857,unknown,unknown,5
10,unknown,1390054753,unknown,unknown,5
10,unknown,1390054710,unknown,unknown,5
10,unknown,1390052615,unknown,unknown,5
11,unknown,1390056661,unknown,unknown,4
11,unknown,1390056181,unknown,unknown,4
11,unknown,1390056134,unknown,unknown,4
11,unknown,1390056111,unknown,unknown,4
12,unknown,1390056851,unknown,unknown,3
12,unknown,1390055992,unknown,unknown,3
12,unknown,1390052233,unknown,unknown,3
13,unknown,1390056460,unknown,unknown,4
13,unknown,1390056255,unknown,unknown,4
13,unknown,1390056169,unknown,unknown,4
13,unknown,1390054611,unknown,unknown,4
14,unknown,1390056446,unknown,unknown,3
14,unknown,1390056335,unknown,unknown,3
14,unknown,1390056115,unknown,unknown,3
15,unknown,1390056300,unknown,unknown,8
15,unknown,1390055938,unknown,unknown,8
15,unknown,1390055701,unknown,unknown,8
15,unknown,1390055678,unknown,unknown,8
15,unknown,1390055596,unknown,unknown,8
15,unknown,1390055569,unknown,unknown,8
15,unknown,1390055329,unknown,unknown,8
15,unknown,1390054288,unknown,unknown,8
16,unknown,1390056254,unknown,unknown,9
16,unknown,1390055969,unknown,unknown,9
16,unknown,1390055926,unknown,unknown,9
16,unknown,1390055892,unknown,unknown,9
16,unknown,1390055669,unknown,unknown,9
16,unknown,1390055534,unknown,unknown,9
16,unknown,1390055374,unknown,unknown,9
16,unknown,1390055363,unknown,unknown,9
16,unknown,1390055340,unknown,unknown,9
17,unknown,1390056185,unknown,unknown,4
17,unknown,1390055661,unknown,unknown,4
17,unknown,1390054828,unknown,unknown,4
17,unknown,1390054798,unknown,unknown,4
